Unfairness weight,Local cost weight,Global cost weight
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49
0.01,0.5,0.49

